time p temp
0 1 20
1 1 20.001837
2 1 20.005512
3 1 20.011024
4 1 20.018373
5 1 20.02756
6 1 20.038582
7 1 20.051441
8 1 20.066137
9 1 20.082668
10 1 20.101036
11 1 20.121239
12 1 20.143276
13 1 20.16715
14 1 20.19286
15 1 20.220404
16 1 20.249783
17 1 20.280996
18 1 20.314043
19 1 20.348925
20 1 20.385641
21 1 20.42419
22 1 20.464573
23 1 20.50679
24 1 20.55084
25 1 20.596724
26 1 20.64444
27 1 20.693989
28 1 20.745369
29 1 20.798582
30 1 20.853628
31 1 20.910505
32 1 20.969215
33 1 21.029757
34 1 21.092129
35 1 21.156332
36 1 21.222366
37 1 21.290232
38 1 21.359928
39 1 21.431456
40 1 21.504812
41 1 21.58
42 1 21.657017
43 1 21.735863
44 1 21.81654
45 1 21.899046
46 1 21.981543
47 1 22.064032
48 1 22.146511
49 1 22.228983
50 1 22.311447
51 1 22.393902
52 1 22.476349
53 1 22.558788
54 1 22.641218
55 1 22.72364
56 1 22.806053
57 1 22.888458
58 1 22.970856
59 1 23.053244
60 1 23.135624
61 1 23.217995
62 1 23.300358
63 1 23.382713
64 1 23.46506
65 1 23.547398
66 1 23.629728
67 1 23.71205
68 1 23.794363
69 1 23.876667
70 1 23.958963
71 1 24.041252
72 1 24.123531
73 1 24.205803
74 1 24.288065
75 1 24.37032
76 1 24.452566
77 1 24.534803
78 1 24.617033
79 1 24.699255
80 1 24.781467
81 1 24.863672
82 1 24.945868
83 1 25.028055
84 1 25.110235
85 1 25.192406
86 1 25.274569
87 1 25.356724
88 1 25.43887
89 1 25.521008
90 1 25.603136
91 1 25.685257
92 1 25.76737
93 1 25.849474
94 1 25.93157
95 1 26.013659
96 1 26.095737
97 1 26.177809
98 1 26.25987
99 1 26.341925
100 1 26.423971
101 1 26.506008
102 1 26.588037
103 1 26.67006
104 1 26.752071
105 1 26.834076
106 1 26.916073
107 1 26.99806
108 1 27.08004
109 1 27.16201
110 1 27.243973
111 1 27.325928
112 1 27.407873
113 1 27.48981
114 1 27.571741
115 1 27.653662
116 1 27.735575
117 1 27.81748
118 1 27.899376
119 1 27.981264
120 1 28.063143
121 1 28.145014
122 1 28.226877
123 1 28.308731
124 1 28.390577
125 1 28.472416
126 1 28.554245
127 1 28.636066
128 1 28.71788
129 1 28.799685
130 1 28.881481
131 1 28.96327
132 1 29.04505
133 1 29.126822
134 1 29.208584
135 1 29.290339
136 1 29.372086
137 1 29.453823
138 1 29.535553
139 1 29.617275
140 1 29.698988
141 1 29.780693
142 1 29.86239
143 1 29.944078
144 1 30.025759
145 1 30.107431
146 1 30.189095
147 1 30.27075
148 1 30.352398
149 1 30.434036
150 1 30.515667
151 1 30.59729
152 1 30.678904
153 1 30.76051
154 1 30.842106
155 1 30.923695
156 1 31.005276
157 1 31.086847
158 1 31.168411
159 1 31.249968
160 1 31.331514
161 1 31.413054
162 1 31.494585
163 1 31.576107
164 1 31.657621
165 1 31.739128
166 1 31.820625
167 1 31.902115
168 1 31.983597
169 1 32.06507
170 1 32.146538
171 1 32.227993
172 1 32.30944
173 1 32.39088
174 1 32.472313
175 1 32.553738
176 1 32.635155
177 1 32.71656
178 1 32.79796
179 1 32.87935
180 1 32.96073
181 1 33.042107
182 1 33.123474
183 1 33.20483
184 1 33.28618
185 1 33.36752
186 1 33.448853
187 1 33.530178
188 1 33.611496
189 1 33.692802
190 1 33.7741
191 1 33.855392
192 1 33.936676
193 1 34.017952
194 1 34.09922
195 1 34.180477
196 1 34.261726
197 1 34.342968
198 1 34.424202
199 1 34.50543
200 1 34.586647
201 1 34.667854
202 1 34.749054
203 1 34.830246
204 1 34.91143
205 1 34.992607
206 1 35.073776
207 1 35.154934
208 1 35.236084
209 1 35.317226
210 1 35.39836
211 1 35.47949
212 1 35.560608
213 1 35.641716
214 1 35.722816
215 1 35.80391
216 1 35.884995
217 1 35.966072
218 1 36.047142
219 1 36.128204
220 1 36.209255
221 1 36.2903
222 1 36.371334
223 1 36.452362
224 1 36.533382
225 1 36.614395
226 1 36.695396
227 1 36.77639
228 1 36.857376
229 1 36.938354
230 1 37.019325
231 1 37.10029
232 1 37.18124
233 1 37.262184
234 1 37.34312
235 1 37.42405
236 1 37.50497
237 1 37.585884
238 1 37.66679
239 1 37.747684
240 1 37.82857
241 1 37.90945
242 1 37.990322
243 1 38.071186
244 1 38.152042
245 1 38.232887
